id,title,rating,date,body,sentiment,category,satisfied
20,"la market place, amazon sans lave les mains",1,19-06-2024,"reçu un paquet qui vient de chine alors que ce n'était pas indiqué sur le site.  Matériel défectueux, on vous propose de payer le retour à vos frais et que vous serez remboursé. comme les frais de retour sont  à votre charge et  que vous serez peut être remboursé, pour un produit irréparable, je vous déconseille d'utiliser les market places amazon.  surtout que le retour d'un produit irréparable  ne sert à rien, juste à vous nuire.",Negative,Shipping,0
21,super entreprise.,5,25-06-2024,"super entreprise.
chez amazon depuis 2009 ,avec un nombre de colis entre 200 et 250 colis à l'année. Des prix corrects des livraisons rapides ,de plus livré à domicile (pas de frais d'essence) .Un problème je suis appelé dans la minute et le problème est résolu. ",Negative,Customer Service,1
22,Commande de plusieurs produits expédié…,1,20-06-2024,"Commande de plusieurs produits expédié par amazon, livraison rapide payée pour un produit en question qui a une erreur de livraison et donc commande annulée. Remboursement de 1/3 de la livraison rapide vu que les autres produits livrés. Étrangement, je reçois un sms qui me dit qu'il y a un soucis avec ma commande et que je dois cliquer sur un lien frauduleux pour en savoir plus. Amazon c'est fini pour moi.",Negative,Customer Service,0
23,Les abérrations d’Amazon,1,26-06-2024,"Je commande des écouteurs Apple. Amazon m’envoie le fameux code de sécurité. On me livre avec un jour d’avance- bravo- MAIS LE CODE DE SÉCURITÉ EST INCORRECT ET NE PASSE PAS SUR LE PORTABLE DU LIVREUR : IL NE PEUT PAS ME LIVRER LE COLIS.
Pourtant je suis à l’adresse indiquée, j’ai ma carte d’identité, je sais ce qu’il y a dans le colis. RIEN À FAIRE. Le livreur ne peut pas me remettre mon colis parce que le p.t ..n de code qu’Amazon m’a envoyé n’est pas le bon. Vive le progrès et l’informatique ! ",Negative,Electronics,0
24,Bon cadeau AMAZON,1,04-04-2024,"Bonjour, j'ai acheté en avril un bon cadeau. Je l'ai bien reçu par mail, mais impossible de l'utiliser. J'ai déjà contacter le service clientèle à 3 reprises. On me certifie à chaque fois que le problème va être résolu dans les 48h mais RIEN. Voilà 10 jours que je tente d'être remboursé et c'est le même cinéma. Je vous déconseille fortement d'acheter un bon cadeau AMAZON.
",Negative,Customer Service,0
25,Prime retour non-remboursé,1,28-05-2024,"J'ai acheté des haltères avec un compte Amazon Prime. J'ai cru acheter des paires, mais à la réception, il n'y avait qu'une seule de chaque pois. Alors, j'ai voulu les retourner. Au bureau de poste j'ai été informé que le retour était à ma charge, ce qu'allait être plus chère que des articles (15kg).

Ce problème ne s'est jamais produit auparavant. Je n'étais pas informé au moment de l'achat que le retour était à ma charge. Pourquoi ?

Je me sens arnaquer.",Negative,Customer Service,0
26,Expérience utilisateur indétronable,4,13-09-2023,"Il m'est arrivé quelques fois d'avoir des erreurs de produits dans mes commandes mais ces dernières ont souvent été vite traitées par un SAV qui est compréhensif et efficace. Je retire juste une étoile car j'ai pu travailler en prépa de commande et je sais les conditions des travailleurs dans les entrepôts, pour pour l'utilisateur final, le service est franchement indétrônable. 

Le site n'a plus rien a prouver si ce n'est le respect de ses salarié(e)s.",Negative,Customer Service,1
27,Le service client et le vendeur sont des menteurs et des voleurs ,1,22-06-2024,"Le service client et le vendeur me balade depuis 20 jour en me promettant mon remboursement avec la garantie A à Z et le lendemain déboute ma demande en clôturant le dossier. On me demande de renvoyer mon colis à une adresse qui n'existe pas en France!!? Un responsable doit me rappeler et ne le fait jamais...A fuir, des voleurs...",Negative,Customer Service,0
28,"Livraison catastrophique avec ""colis…",1,22-06-2024,"Livraison catastrophique avec ""colis privé.""

J ai toujours commandé sur Amazon où je trouve vraiment tout ce que je cherche,et les envois sont rapides. MAIS depuis qu'ils ont abandonné la 
Poste pour les colis et pris ""Colis Privé"", c est la catastrophe!!!!!!?? Colis livré n importe quel jour n importe quelle heure par n importe qui( femme en burka complète la semaine dernière) Je n ai rien contre le voile dans la vie quotidienne,mais la burka pour travailler et livrer en pleine campagne non,ça fait le jeu des extrêmes.... Je suis retraitée et malheureusement je loupe malgré tout des livraisons ,remises à une journée entière sans horaires où ils ne viennent même pas,j imagine que qq qui travailllle n a aucune 
chance d' être livré.
Là j attends deux colis ,le premier présenté hier sans prévenir,je n étais pas là,dieu seul sait où est le colis désormais 😪,l autre devait arriver ce matin,rien🤔....Moi qui commandait au-moins une fois par semaine sur Amazon,je vais devoir chercher ailleurs. Pour gagner sur les livraisons, Amazon va perdre ses fidèles clients.",Negative,Customer Service,0
29,Problème de paiement refusé .,1,21-06-2024,"Problème de paiement refusé par prélèvement  avec RIB. On me bloque ma commande  et Amazon me prévient tranquillement  le lendemain qu'il refuse mon mode de paiement qui ne lui plait pas .J'ai dû changer mon paiement de 999€, par carte visa.",Negative,Customer Service,0
30,Une honte,1,19-06-2024,"Une honte 2 jours d'attente et toujours rien
Le colis à la base devait faire 50km avec un râteau horaires 06h/21h.
2 jours que le colis fait Aix en Provence/ Cavaillon pour être livré sur Orange...
Jamais vu le livreur, Amazon incapable de savoir où est le colis ou de donner une information.
Et mon colis vient de passer de en cours de livraison à expédié cherché l'erreur.
Je vais encore devoir annuler ma commande et la refaire, cela devient fatiguant et récurrent. Le service Prime se dégrade de plus en plus.",Negative,Customer Service,0
31,Jusqu'à aujourd'hui je n'avais jamais…,1,19-06-2024,Jusqu'à aujourd'hui je n'avais jamais eu de problèmes. Le livreur n'a pas trouvé plus intelligent que de déposer mon colis devant mon portail et non pas derrière... pour le plus grand plaisir de passants qui se sont chargés de la bonne réception du colis. Je suis stupéfaite de voir autant de bon sens!,Negative,Customer Service,0
32,J'ai commandé des tabourets de bar…,1,14-05-2024,"J'ai commandé des tabourets de bar réglableavec livraison a domicile. Au final le transport n a pas le temps de livrer chez moi et decide de les deposer dans un point relais.Au montage je m aperçois qu ils ne sont pas réglable. J envoie message pour demander sav sur les pièces,2 tabourets acheter et on m envoie 1 pièce sav pour 2 tabourets qui ne sont toujours pas réglable.
J appelle amazon et la on me dit d avancer les frais retours pour qu on me rembourse et qu on me remboursera après??? 
Une blague??? Fini les commandes amazon.
Commande réceptionnée il y a 0lus d un mois, une honte le service clientele
Une blague ",Negative,Customer Service,0
33,achète des téléphones as prix de…,1,24-06-2024,On achète des téléphones as prix de 180€ et le téléphone il se casse et marche pas alors je vous déconseille amazon vraiment ,Negative,Electronics,0
34,C'est bien beau de payer des…,1,17-06-2024,"C'est bien beau de payer des abonnements prime vidéo avec les soi disants avantage comme la livraison gratuite, chose qui n'est pas le cas !!!!! au Luxembourg. Par contre il livre en Belgique gratuitement, le pays à côté quoi. Bien beau d'avoir le siège social d'Amazon au Luxembourg et pas besoin de dire pourquoi, mais lorsqu'il s'agit d'indiquer que les livraisons ne sont pas gratuites, on ne voit rien. Si peut-être dans un coin d'une information qu'on n'arrive pas à trouver. 
",Neutral,Shipping,0
35,Ce site mérite la méfiance des clients.,1,08-05-2024,"Bonjour, je suis un client amazon depuis assez lontemps, et depuis un moment la confiance en ce site est en baisse. mon dernier achat fut une clé à choc vendue comme neuve, je me suis aperçu que le produit avait été renvoyer par un autre client. je suis déçu de ce genre de comportement de la part d'amazon et je vais cesser d'acheter sur leur site.",Negative,Customer Service,0
36,Service client NUL,1,21-06-2024,"Commande du 19 juin, pour livraison le 21 juin... Le colis pas expédié le 21 juin à 14h... forcément pas moyen d'annuler la commande... 
J'appelle le service client qui comme toujours son désolé de la situation et vont tous mettre en œuvre pour résoudre.... la dame veux appelé le service pour accélérer les choses...(phrases types comme toujours...)

Et pour annulé bah soit disant le livreur arrive....c'est le statut qui est pas mis à jour.....
On est en campagne le livreur est passé à 13h..... donc gros mensonge",Negative,Customer Service,0
37,Nora du service client m’a très bien…,5,23-06-2024,"Nora du service client m’a très bien aidé ! Elle a su prendre la situation en main pour mon aspirateur tombé en panne. Prise en charge par Amazon alors normalement c’était au revendeur de le prendre en charge. 
Merci encore à Nora.",Neutral,Customer Service,1
38,"Ce sont des voleurs,des…",1,10-05-2024,"Ce sont des voleurs,des arnaqueurs,c'est un site à fuir avec des fournisseurs étrangers pas fiables ,il faut mieux commander sur Cdiscount ou autre mais Amazon la garantie ne fonctionne pas du tout et peut aimable au téléphone 
Un Conseil A FUIR!!!",Negative,Electronics,0
39,Commande validée par amazon fin mai…,1,16-06-2024,"Commande validée par amazon fin mai avec livraison prévue le 4 juin.
A ce jour 16 juin, l'article n'est toujours pas livré et le suivi de livraison à jour
Malgré plusieurs appels et mails : les réponses apportées ont été : la livraison est reprogrammée ou nous ne savons pas où est
 votre colis.
Service client lamentable, idem pour le siège social qui n'a pas eu la politesse de me répondre.
",Negative,Customer Service,0
40,Pas a la hauteur de leur réputation,2,22-06-2024,"Je commande régulièrement sur Amazon depuis très longtemps, et jusqu’ici, j’avais pas été déçu. Cette fois-ci, pourtant, Amazon n’a pas été à la hauteur. Je souhaitais commander un téléphone one plus nord ce3 lite 5g vendu sur leur Marketplace par un fournisseur italien. Il se trouve que les caractéristiques données par le fournisseur et figurant sur le site d’Amazon ne correspondaient pas à celui du téléphone : année de sortie annoncée 2021 alors que le téléphone est sorti en avril 2023 et utilisation sur Android 10, alors que c’est sous Android 13. J’ai contacté par téléphone Amazon pour avoir des éclaircissements: pas de réponse. J’ai contacté Amazon la par la messagerie écrite: Pas de réponse. J’ai donné un avis négatif sur Amazon pour ce téléphone et cet avis n’a jamais été publié. À défaut de réponse d’Amazon j’ai donc décidé de faire part de mon expérience négative . Je ne remets pas en cause les prestations globalement bonnes d’Amazon mais dans le cas présent ce n’est pas satisfaisant.",Negative,Electronics,0
41,décidément dans la série livraison !!,2,18-06-2024,"décidément dans la série livraison !!! commande de 2 plaques de protection pour plaque vitro, je viens de la recevoir directement en mains emballé juste dans du papier bulles ,( 2 tours) et du scotch large je deballe et hoooo!!! il manque les pieds en Silicon, j' appelle et on me dit :""certainement une erreur ""mais on ne peus pas les envoyer ,vous retournez le colis et en recevrez un autre ,(en gros ) donc imprimer des étiquettes renvoyer le colis ( frais en plus pour l' erreur d' un autre) et désagrément bref :encore le client qu est sanctionné  pour leurs erreurs .a force de degoutter le client il ira ailleurs .",Negative,Customer Service,0
42,Livraison Colis Privé,1,17-06-2024,"Livraison obligatoire avec Colis Privé, aucun choix de livreur, et toujours des problèmes pour recevoir les commandes. Il faut laisser le choix du transporteur car Colis Privé c'est une catastrophe, aucun sérieux et professionnalisme. Par conséquent, ça ne donne plus envie de commander sur Amazon.",Negative,Customer Service,0
43,Pratique scélérate sur les remboursements,2,19-06-2024,"Admirateur rural de l'efficacité d'Amazon depuis 15 ans et je le reste sauf une nouveauté...
Un retour de produit à 270€ pour détérioration lors de la mise en carton: ça peut arriver. Procédure de retour et remboursement impeccables sauf que Amazon classe ce remboursement en ""carte cadeau"". Impossible de repasser cette commande et d'autres en utilisant le solde de ladite carte malgré l'envoi de pièce d'identité ET de facture EDF...
Les conseillers m'ont baladé pendant 2 semaines... certains par de GROS mensonges.
Les nouvelles commandes hors marketplace peuvent être imputées sur le solde carte; les autres non: si vous êtes pressés, il faudra repayer en CB; c'est toujours ça de gagné pour la trésorerie d'Amazon (5 jours à CHAQUE fois pour vérification des mêmes pièces)
Conclusion: faites vous rembourser sur votre carte bleue et pas sur votre compte amazon!!!
Voilà des gangsters intelligents",Negative,Customer Service,0
44,Sérieux?,1,15-06-2024," ENCORE UNE FOIS amazon indique que la commande est livrée alors que ce n'est pas vrai.... Cela va avec le fait que mon adresse est devenue erronée alors que c'est la même depuis 4 ans...
En conclusion amazon devient incompétent tant a respecter ses propres délais de livraison qu'a réagir en cas de problème.
Sur les 5 dernières commandes
1 est arrivée !

",Negative,Customer Service,0
45,Non respect de la livraison prime,1,11-06-2024,"Amazon ne respecte pas la livraison en 24h prime inclus dans l'abonnement !!!! Publicité mensongère. Refus de prendre en compte le delai de retractation (non respect de la loi française) 😡. 
2 signalements en cours... 
Prestataire de livraison qui vole les colis ou les jette par dessus la clôture haute de 2 mètre ou les livre chez des inconnu car ces incapables ne veulent pas revenir. Tout cela malgré les instructions de livraisons... ",Negative,Shipping,0
46,Amazon a des problèmes de sécurité informatique mais ils s’en foute ! Du client aussi apparement….,1,20-06-2024,"Vieux compte Amazon piraté
Je n’ai pas accès au compte
Mais je reçois les mails de commande 
Achat effectué par les pirates 
Amazon prévenu 3 fois rapidement par téléphone 
Amazon me certifiée une réponse dans les 2 jours 
Ils me répondent que tout va bien !!!!
Je suis débité sur ma carte ….

Amazon a des problèmes de sécurité mais ils s’en foute c’est le client qui paie !!!!!",Negative,Electronics,0
47,C’est devenu lamentable …,1,11-06-2024,"C’est devenu lamentable : achat de montre connectée en cadeau à Madame, jamais reçue. Après achat de protéines chères, livraison en main propre d’après eux, mais jamais reçues, envoyées sans emballage normal, ce qui a pu être volé par leur service de livraison. Et là, achat de chaussures neuves, je reçois une reconditionnée et en plus une gauche en 44 et une droite en 42. Super ! C’est devenu une arnaque. Une fois, j’ai acheté un smartphone de 400 euros, j’ai reçu une brosse à dents électrique Reine des neiges.",Negative,Electronics,0
48,"amazon, c'est plus ce que c'ètait",1,14-06-2024,"je commande un produit et je reçois du reconditionné.
Et cela va faire la seconde fois en 3 ans que ce problème se reproduit.",Negative,Customer Service,0
49,Je viens de commander un packet de…,1,17-06-2024,"Je viens de commander un packet de gateau, je suis pas amazon prime, ils disent livraison le 25 juillet donc dans 40 jours environs, ils se foute de notre geulle, j'ai tout de suite annuler la commande !",Negative,Customer Service,0
50,FRAIS D ENVOI NON REMBOURSES,2,23-05-2024,"J'ai commandé un article sur Amazon, celui ci avait un probleme. Le retour a été effectué après accord en colis suivi.
J'ai recommandé immédiatement le même article que j'ai pu installer et qui fonctionne.
Il a fallu que j'insiste auprès d'Amazon pour en obtenir le remboursement, le service client me demandant le nr de suivi. pas de remboursement des frais de retour, 1er colis 6 euros frais d'envoi, idem 2ème colis et pour l'envoi 3.5 euros. Je précise que que remboursement a ete fait sans les frais de retour.",Negative,Customer Service,0
51,Colis défoncé reçu vide !,1,14-06-2024,"Colis défoncé reçu vide !
J'avais pourtant bien prévenu AMAZON que si je recevais encore des colis abimés, ouverts, éventrés,  je stopperais mes achats ! Ras le bol cette fois c'est trop  !!! Good bye ....",Positive,Shipping,0
52,Très déçue !,2,14-06-2024,"Jusque là,  je n'avais commandé que des livres et j'étais satisfaite. Là, et j'ai commandé des vêtements et c'est carrément la catastrophe ! D'abord, pourquoi scindent ils la même commandes en plusieurs livraisons dans la même journée. Bilan un pull noir que je pensais ""chaud"" qui est en fait une espèce de filet noir ( emballé n'importe comment donc tout froissé) et un peignoir qui a été déposé tel quel dans la boîte aux lettres. Et on ne peut même pas dire que le prix n'est pas cher ! Qui plus est, je refusais à chaque fois,  le service premium et sans comprendre pourquoi,  il a été mis d'office. Bref, je ne passerai plus de commandes à  part pour les livres.",Negative,Textile,0
53,Livraison incomplète,1,17-06-2024,"Livraison incomplète. Il manque des produits dans la boîte. Erreur de livraison, fraude vendeur ou erreur ou vol lors de la livraison.
Mais aucune solution sérieuse pour remboursement partiel ou livraison additionnelle.
Service lamentable surtout lorsque la responsabilité de l'incident relève à 100% de Amazon.",Negative,Customer Service,0
54,"Livraison non reçue, baladé par le service client.",1,13-06-2024,"Je devais recevoir un colis mardi (service prime soi disant ""premium""). A 11h30 on m'indique ""colis livré, remis en mains propres"".
Je préviens tout de suite mon épouse qui était restée exprès à la maison et elle ne voit, ni n'entend rien.
Je signale le problème et on me dit d'attendre 2 jours, que le colis est peut-être indiqué comme livré par erreur. Je patiente 48h et ce matin je chatte avec quelqu'un qui me dit après 10 mn d'attente, d'attendre encore jusque dimanche, que le colis va peut-être arriver d'ici là ou pas ou qu'ils font une enquête. Bref, on me balade alors qu'ils devraient au moins pouvoir donner les indications du livreur.",Negative,Customer Service,0
55,Aucun respect du client,1,14-06-2024,"Colis endommagé par la poste. Amazon me promet un envoi de remplacement sous deux jours. Promesse non tenu, un article ne peut être remplacé car pas acheté chez Amazon, après une heure de discussion par tchat aucun résultat satisfaisant, je dois recommander l'article et payer les frais d'envoi car commande inférieure à 35 €. J'explique que je ne suis pas responsable, mais Amazon s'en fiche. Tout comme la promesse fait que mon colis de remplacement arrive sous deux jours avec la totalité des articles. Amazon n'est plus ce qu'il était au début, je pense par contre qu'il doit réclamer à la poste quand un colis est endommagé ou perdu. Mais les clients on s'en fiche. Le mieux est de prendre sa voiture et d'aller acheter près de chez soi !!!!",Negative,Customer Service,0
56,"J’ai acheté sur Amazone avec des frais de livraison, contrairement à leur politique qu’il affiche sur leur site",1,06-06-2024,"J’ai acheté sur Amazone, il dise aucun frais d’expédition au dessus d’un certain montant, j’ai acheté pour 195,00$ et j’ai eu 16,00$ en frais d’expédition.
J’ai voulu annuler ma commande 5 minutes après, et amazone a refusé d’annuler ma commande.
J’ai retourné une partie de ma commande et encore il me charge un frais d’annulation de 16,00$.
J’ai fais une critique sur leur site, et comme ma critique ne s’appliquait à la marchandise mais au service d’amazone, ils ont refusé de l’afficher.",Negative,Customer Service,0
57,Colis livré dans l'immeuble voisin,1,20-06-2024,"Bonjour,
Certains livreurs font n'importe quoi !
Colis livré au 17 de la rue au lieu du 19. Il n'a pas trouvé de boîte à mon nom, et pour cause...
Il a donc déposé l'article au dessus des boîtes du 17 et fait une photo. Heureusement que j'étais à domicile, que je suivais le colis et que j'ai accès au bâtiment voisin !
Faites en sorte que ça ne se reproduise pas, s'il vous plait.
N° DE COMMANDE 402-8271183-9019541",Negative,Customer Service,0
58,Fraude + conseillers incompétents,1,14-06-2024,"Fraude + conseillers incompétents. Un des conseillers que j’ai eu en lig A fait l’annulation de ma commande juste pour le plaisir j’ai jamais vu. Et je vous assure que je ne vais pas lacher l’affaire car ils me raccrochent au nez 
J’ai fait plusieurs commandes sur l’application amazone et le jour de la livraison he suis resté bloqué chez moi pour recevoir le colis le premier le livreur l’a jeté dehors sans me prévenir ni aucun appel de sa part il a été retrouvé par mon voisin et le suivant après plusieurs appels ils ont annulé ma commande par qui aucune idée ils ont décidé d’annuler ma commande sachant que je voyage le lendemain et que je n’ai pas eu mes colis.",Negative,Customer Service,0
59,Fuyez : AMAZON envoie un colis vide mais essaie de ne pas rembourser son client,1,24-05-2024,"J'ai commandé un PIXEL 8 chez AMAZON que j'ai fait livré en point Relais. Lors de la remise du colis, on m'a remis une enveloppe en carton qui ne pouvant contenir aucun téléphone. Avec le gérant du point Relais, on a ouvert le carton et celui-ci était vide. Il m'a écrit un témoignage du constat fait. J'ai porté plainte à AMAZON qui m'a dit de faire une déclaration de vol. Depuis AMAZON trouve des prétextes irrecevables pour considérer le procès verbal de plainte non conforme à leur demande et ne pas me rembourser. C'est assez incroyable : ils sont responsables à 100% (le téléphone a été volé chez eux avant l'envoi du colis) mais ils trouvent toujours une raison pour ne pas rembourser. Fuyez !",Negative,Electronics,0
60,Droit d'expédition de plus de 6 euros…,1,18-06-2024,"Droit d'expédition de plus de 6 euros amazon ne livrant pas lui même commande de 2 livres à a environ 12 euros donc 2 fois plus de 6 euros une honte 
Réclamer ne sert à rien chez amazon mais je le dis quand même ",Negative,Customer Service,0
61,Trop d’incompétence ,1,14-06-2024,"Trop d’incompétence 
Cela dure depuis un moment Amazon protège plus ses vendeurs que ses acheteurs les avis négatifs quand on reçoit colis endommagés sont refusé sans aucune raison valable nous ne pouvons partager les avis négatifs ! Les livraisons plus aussi rapide car effectuées par d autre service de livraison tel que la poste dpd … la garantie de a à z n’est plus ce que c était ! Si on annule une commande avant expédition et préparation c’est refusé aussi le service client incompétent bref je déconseille je règle mes dernier soucis et je résilie prime et fini pour moi trop d abus ",Negative,Customer Service,0
62,Site qui se détériore,1,20-06-2024,Cliente depuis des années et je trouve que ça se dégrade. Plusieurs soucis sur plusieurs commandes et des colis qui sont ouverts. Je suis très déçue et en colère car à ce jour rien n'est réglé. Des incompétents. ,Negative,Customer Service,0
